Posted On,Rent,BHK,Bathroom,Size,Floor,Area Type,City,Furnishing Status
2022-05-25,20000,3,2,1250,2,Super Area,Hyderabad,Unfurnished
2022-07-06,34000,3,3,1500,2,Carpet Area,Hyderabad,Semi-Furnished
2022-06-06,30000,3,3,1500,5,Carpet Area,Hyderabad,Semi-Furnished
2022-07-06,45000,3,3,1645,8,Carpet Area,Hyderabad,Semi-Furnished
2022-07-08,22000,3,3,1500,4,Super Area,Hyderabad,Semi-Furnished
2022-05-31,20000,3,2,1000,2,Carpet Area,Hyderabad,Semi-Furnished
2022-05-29,32000,3,3,1600,3,Super Area,Hyderabad,Furnished
2022-06-02,20000,3,3,1500,2,Super Area,Hyderabad,Furnished
2022-06-06,14000,3,2,1400,3,Super Area,Hyderabad,Semi-Furnished
2022-06-08,16500,3,3,1600,2,Super Area,Hyderabad,Semi-Furnished
2022-05-07,10000,3,2,1000,2,Carpet Area,Hyderabad,Furnished
2022-07-02,30000,3,3,1800,5,Carpet Area,Hyderabad,Unfurnished
2022-07-02,30000,3,3,1800,5,Carpet Area,Hyderabad,Unfurnished
2022-04-29,26000,3,2,1450,4,Super Area,Hyderabad,Semi-Furnished
2022-05-28,20000,3,3,1150,2,Carpet Area,Hyderabad,Semi-Furnished
2022-06-21,21000,3,3,1400,3,Carpet Area,Hyderabad,Semi-Furnished
2022-05-19,26000,3,3,1700,7,Carpet Area,Hyderabad,Semi-Furnished
2022-05-17,40000,3,3,1960,13,Super Area,Hyderabad,Unfurnished
2022-05-29,25000,3,3,1480,2,Super Area,Hyderabad,Furnished
2022-06-13,20000,3,2,1500,5,Super Area,Hyderabad,Furnished
2022-07-02,25000,3,2,1250,2,Super Area,Hyderabad,Semi-Furnished
2022-05-12,18000,3,2,1300,3,Super Area,Hyderabad,Semi-Furnished
2022-06-21,12000,3,2,1275,4,Carpet Area,Hyderabad,Unfurnished
2022-06-14,13000,3,3,1265,2,Super Area,Hyderabad,Semi-Furnished
2022-06-25,21000,3,2,1100,4,Super Area,Hyderabad,Semi-Furnished
2022-07-02,50000,5,6,3500,2,Carpet Area,Hyderabad,Unfurnished
2022-05-10,32000,3,3,1250,5,Carpet Area,Hyderabad,Semi-Furnished
2022-06-06,22000,3,3,1500,3,Super Area,Hyderabad,Semi-Furnished
2022-05-09,12000,3,2,1200,2,Super Area,Hyderabad,Semi-Furnished
2022-05-31,15000,3,3,1500,4,Carpet Area,Hyderabad,Semi-Furnished
2022-04-30,22000,3,2,1700,2,Super Area,Hyderabad,Semi-Furnished
2022-06-28,15000,3,3,1360,6,Super Area,Hyderabad,Semi-Furnished
2022-06-25,30000,3,2,1500,3,Carpet Area,Hyderabad,Semi-Furnished
2022-06-15,16000,3,2,1305,2,Super Area,Hyderabad,Semi-Furnished
2022-06-14,30000,3,3,1606,9,Super Area,Hyderabad,Semi-Furnished
2022-05-12,22000,3,3,1840,3,Super Area,Hyderabad,Semi-Furnished
2022-05-12,20000,3,2,1650,3,Super Area,Hyderabad,Semi-Furnished
2022-07-05,42000,3,3,2671,2,Carpet Area,Hyderabad,Semi-Furnished
2022-06-21,25000,3,3,1700,5,Super Area,Hyderabad,Semi-Furnished
2022-05-14,23000,3,3,1700,2,Super Area,Hyderabad,Semi-Furnished
2022-05-10,37000,3,3,1550,3,Super Area,Hyderabad,Semi-Furnished
2022-05-12,25000,3,3,1600,4,Super Area,Hyderabad,Semi-Furnished
2022-06-25,35000,3,3,1700,2,Carpet Area,Hyderabad,Semi-Furnished
2022-07-06,45000,3,3,1742,24,Carpet Area,Hyderabad,Semi-Furnished
2022-07-06,42000,3,3,2000,4,Carpet Area,Hyderabad,Semi-Furnished
2022-06-29,38000,3,2,1400,4,Carpet Area,Hyderabad,Semi-Furnished
2022-07-02,17000,4,4,1600,2,Super Area,Hyderabad,Unfurnished
2022-07-02,15000,3,2,1500,2,Super Area,Hyderabad,Unfurnished
2022-05-06,18000,3,2,1400,4,Super Area,Hyderabad,Semi-Furnished
2022-07-06,50000,3,3,1742,11,Carpet Area,Hyderabad,Semi-Furnished
2022-07-06,25000,3,2,1545,4,Super Area,Hyderabad,Furnished
2022-05-09,17500,3,2,1000,2,Carpet Area,Hyderabad,Semi-Furnished
2022-06-29,37000,3,3,2100,10,Super Area,Hyderabad,Semi-Furnished
2022-06-29,37000,3,3,1960,8,Super Area,Hyderabad,Semi-Furnished
2022-06-29,40000,3,3,1965,10,Super Area,Hyderabad,Semi-Furnished
2022-06-29,45000,3,3,1834,15,Super Area,Hyderabad,Semi-Furnished
2022-06-29,44000,3,3,1834,12,Super Area,Hyderabad,Semi-Furnished
2022-06-29,37000,3,3,1800,10,Super Area,Hyderabad,Furnished
2022-06-11,25000,3,2,1650,3,Carpet Area,Hyderabad,Semi-Furnished
2022-07-05,20000,3,4,1800,2,Carpet Area,Hyderabad,Semi-Furnished
2022-06-06,13000,3,2,1450,2,Super Area,Hyderabad,Unfurnished
2022-06-20,45000,4,4,2300,4,Carpet Area,Hyderabad,Semi-Furnished
2022-06-20,22000,3,3,1800,4,Carpet Area,Hyderabad,Semi-Furnished
2022-06-09,15000,3,3,1422,4,Super Area,Hyderabad,Semi-Furnished
2022-06-29,20000,3,3,1100,2,Super Area,Hyderabad,Semi-Furnished
2022-05-29,22000,3,2,1450,2,Super Area,Hyderabad,Semi-Furnished
2022-07-09,26000,3,2,1450,4,Super Area,Hyderabad,Semi-Furnished
2022-06-17,35000,3,2,2500,2,Super Area,Hyderabad,Unfurnished
2022-06-28,30000,3,4,214,2,Super Area,Hyderabad,Furnished
2022-07-06,30000,3,3,1700,6,Super Area,Hyderabad,Semi-Furnished
2022-06-08,35000,3,2,1250,4,Super Area,Hyderabad,Furnished
2022-07-10,35000,3,3,1750,3,Carpet Area,Hyderabad,Semi-Furnished
2022-07-06,45000,3,2,1500,23,Carpet Area,Hyderabad,Semi-Furnished
